narrative_name,text,system_actors_roles,system_relations,system_values_hits,manual_actors,manual_roles,manual_threat,manual_responsibility,manual_causal_relations,manual_values,manual_preferred_action,annotator_notes
Russian,"📝The landing operation is becoming more and more real📝 The war with Iran will last at least another two to three weeks. Not a spoiler, but the deployment of the US Navy's 31st Marine Expeditionary Unit points to this.  It consists of approximately 2,200 Marines and sailors with light armored vehicles, most of whom are based at the USS Tripoli. He is assigned to Sasebo in Japan.  🖍According to the initial information that was distributed online, it was said about the transfer of 2.2 thousand marines. But The Wall Street Journal talks about 5 thousand.  🚩It is still unclear who else will be part of the new ship group. Some are talking about the possible dispatch of a cruiser and a destroyer, some media write that an amphibious landing group will be formed by analogy with the Caribbean.  ❗️We should wait for more specific data. But the very fact of sending a landing ship amid the blockade of the Strait of Hormuz, which Trump intends to open, indicates that the Pentagon is seriously considering the option of landing on Iranian shores. #Iran #USA 🧨@rybar_mena - about the Middle East chaos with love 💸 Support us",Iran=neutral(0.0); Usnavy=neutral(0.0); 31stmarineexpeditionaryunit=neutral(0.0); Marines=neutral(0.0); United States=neutral(0.0); Tripoli=neutral(0.0); Sasebo=neutral(0.0); Japan=neutral(0.0); Thewallstreetjournal=neutral(0.0); Caribbean=neutral(0.0); Straitofhormuz=neutral(0.0); Trump=neutral(0.0); Pentagon=neutral(0.0); Iran=neutral(0.0); Iran=neutral(0.0); United States=neutral(0.0); Middleeast=neutral(0.0),️We --proposes_action--> wait for more specific data . (0.35),,,,,,,,,
Russian,"@MariaVladimirovnaZakharova - Both taste and understanding of fashion are not characteristic of you.  - I think it depends on what you... - No, no. It wasn't a question.  ""The Devil Wears Prada"" P.S. The devil is wearing a blue skirt today.  #Maria Is Lying to the Whole World Again",Mariavladimirovzakhar=neutral(0.0); Devil=neutral(0.0); Prada=neutral(0.0); Maria=neutral(0.0); World=neutral(0.0),,,,,,,,,,
Russian,"📆  Top News Today  ▫️ From 7 to 13 March 2026, in response to the terrorist attacks launched by Ukraine against civilian facilities in the Russian Federation, the Armed Forces of the Russian Federation carried out a massive and six group strikes, which hit enterprises of the Ukrainian defence industry, fuel and power facilities, transport and airfield infrastructure by the Armed Forces of Ukraine, production, storage, and preparation for launch sites of long-range attack unmanned aerial vehicles as well as temporary deployment areas of Ukrainian armed forces and foreign mercenaries.  ▫️ The Russian Defence Ministry shows footage of a D-30 howitzer, a TOS-1 heavy flamethrower system, the Unmanned System Forces.   #TopNews 🔹 Russian Defence Ministry",Topnewstoday=neutral(0.0); Ukraine=neutral(0.0); Russianfederation=neutral(0.0); Armedforcesoftherussianfederation=neutral(0.0); Ukraine=neutral(0.0); Armedforcesofukraine=neutral(0.0); Ukraine=neutral(0.0); Russiandefenceministry=neutral(0.0); D=neutral(0.0); 30=neutral(0.0); TOS=neutral(0.0); 1=neutral(0.0); Unmannedsystemforces=neutral(0.0); Russiandefenceministry=neutral(0.0),,ביטחון והישרדות,,,,,,,,
Russian,🇺🇦🇷🇺UkroReich concentration camp warden Zelensky: “Putin doesn't want to end the war”.  🔴 @DDGeopolitics | Socials | Donate | Advertising,Zelensky=neutral(0.0); “=neutral(0.0); Putin=neutral(0.0); DDG=neutral(0.0),,,,,,,,,,
Russian,@MariaVladimirovnaZakharova Or maybe Finland and Sweden themselves will figure out when and what to discuss???  It is unlikely that anyone is very interested in advice from Masha the liar.  #russianstaterrorist,Mariavladimirovzakhar=neutral(0.0); Finland=neutral(0.0); Sweden=neutral(0.0); Masha=aggressor(0.15),,,,,,,,,,
Russian,Smolyanka promised her friend to kill her with a shovel Instant View,Smolyanka=neutral(0.0),,,,,,,,,,
Russian,"An Iranian woman films her neighborhood being bombed by Israel. As she seeks cover, Israel strikes again, in what appears to be a double-tap strike.  The woman films her own death.  Some Iranians in the diaspora dance and celebrate this, believing these are democracy bombs...  • Trita Parsi  Think sometimes the Iranian diaspora is even worse then Russian shitlibs living in the West.  @Slavyangrad",Iran=neutral(0.0); Israel=victim(0.7); Israel=aggressor(0.85); Iran=neutral(0.0); Trita Pars=neutral(0.0); Iran=neutral(0.0); Russia=neutral(0.0); West=neutral(0.0); Slavyangrad=neutral(0.0),she --causes--> Israel (0.5),,,,,,,,,
Russian,"#Announcement   On February 8-21 – #Moscow will host the 4th Youth Forum “Foreign Policy Meetings in Memory of Vitaly Churkin”.  The central topic: “Diplomacy in the Era of Hybrid Wars”.   Applications are open, including for junior foreign policy specialists.",Russia=neutral(0.0); Youthforum“=neutral(0.0); Policymeeting=neutral(0.0); Vitaly Churkincy=neutral(0.0); Ofhybridwars=neutral(0.0),,,,,,,,,,
Russian,"Statement by a Russian representative during the Interactive Dialogue on the human rights situation in Iran, 61th Session of the UN Human Rights Council   March 16, 2026, Geneva    t.me/RussiaGeneva/3 …",Russia=neutral(0.0); Interactivedialogue=neutral(0.0); Iran=neutral(0.0); Unhumanrightscouncil=neutral(0.0); Geneva=neutral(0.0); Russiageneva=neutral(0.0),,זכויות אדם וכבוד האדם,,,,,,,,
Russian,"The world is changing, and new centers of power are emerging. It's time to acknowledge that reality.",,,,,,,,,,,
Russian,"#Evstigneeva: If we are serious about restoring stability in Europe & preventing further escalation, we must address not only the military & diplomatic dimensions of the Ukrainian crisis, but also the information environment that frames them.   is.gd/xZAWtN",Eign=neutral(0.0); Europe=neutral(0.0); Ukraine=neutral(0.0),"we --proposes_action--> address not only the military & diplomatic dimensions of the Ukrainian crisis , but also the information environment tha (0.35)",יציבות וסדר,,,,,,,,
Russian,"The world isn't unipolar anymore, you know? America can't just dictate to everyone.",United States=neutral(0.0),,,,,,,,,,
Russian,🇮🇱 Scenes from Arad.  🔴 @DDGeopolitics | Socials | Donate | Advertising,Arad=neutral(0.0),,,,,,,,,,
Russian,It's about global justice. No single nation should have the right to dictate how others live or govern themselves.,,nation --proposes_action--> have the right to dictate others live or how govern themselves . (0.35),שוויון וצדק,,,,,,,,
Russian,'We are on the edge of A MUCH BIGGER WAR'   — Serbian pres Vucic to MD MEETS,Serbian=neutral(0.0); Vuc=neutral(0.0),,,,,,,,,,
Russian,"Honestly, the media narrative in the West? It's just non-stop Russophobia, trying to demonize us.",West=neutral(0.0); Russo=neutral(0.0),,,,,,,,,,
Russian,"The collective West is just trying to preserve its fading dominance, but the tide of history has already turned against them.",West=neutral(0.0),,,,,,,,,,
Russian,"You grow up hearing about threats, it sticks.",,,,,,,,,,,
Ukrainian,"Today is the first day of the holy month of Ramadan. This is a time of sincere prayer and deep faith. But, unfortunately, thousands of Ukrainian Muslims meet this day on the battlefield, and part of the Crimean Tatar people - under Russian occupation and in Russian captivity.   We remember about",Ramadan=neutral(0.0); Ukrainianmuslims=neutral(0.0); Crimeantatar=neutral(0.0); Russia=neutral(0.0); Russia=neutral(0.0),,,,,,,,,,
Ukrainian,"Air defense neutralized 109 out of 133 drones that the Russian army used to attack Ukraine at night, the Air Force of the Ukrainian Armed Forces reports. However, 20 drones were hit at 11 locations, and debris fell at seven.",Russia=neutral(0.0); Ukraine=victim(0.7); Airforceoftheukrainianarmedforces=neutral(0.0),,ביטחון והישרדות,,,,,,,,
Ukrainian,"❗️British Prime Minister Keir Starmer and Ukrainian President Volodymyr Zelenskyy signed a declaration on enhanced cooperation in the field of security and defense in London.  The declaration states that the two countries will work to develop a joint defense-industrial and technological ecosystem. This cooperation may include the creation of joint production lines, joint research and development, the integration of defense supply chains, and the development of industrial partnerships.",Keir Starmer=neutral(0.0); Ukraine=neutral(0.0); Volodymyr Zelensky=neutral(0.0); United Kingdom=neutral(0.0),,ביטחון והישרדות,,,,,,,,
Ukrainian,May the New 2022 be full of joy and breathtaking visits to Ukraine   ig: Olya_flydji,Ukraine=neutral(0.0); O=neutral(0.0),,,,,,,,,,
Ukrainian,Just saw another video from the front... those guys are literally superheroes in camouflage.,,,,,,,,,,,
Ukrainian,"Awarded state awards to our soldiers. It is not just a ceremony for us, it is not a formality. Ukraine honors its heroes and lives thanks to its heroes, thanks to your relatives, loved ones, our soldiers. Thanks to their people, who did not give up, were not afraid, who fight for their sake",Ukraine=hero(0.15),,,,,,,,,,
Ukrainian,"""Go to hell"" - this is how Russia responded to the French proposal to involve the Europeans in the peace talks, writes the FT.  In February, the French president's national security advisers, Emmanuel Bonn and Bertrand Buchwalter, visited Moscow for talks with Russian negotiator Yuri Ushakov. According to the sources, French officials insisted that Moscow agree that the Europeans should have a seat at the negotiating table.   ""Ushakov's answer to this question was actually: 'Sorry, no, we don't have any, go to hell,'"" said a high-ranking European diplomat.  Putin's press secretary Dmitry Peskov told the Financial Times that ""the Europeans don't want to help the peace process"" and when the French representative came, he ""didn't bring any positive signals, so I really didn't hear anything positive.""  @babel",Russia=neutral(0.0); French=neutral(0.0); Europeans=neutral(0.0); F=neutral(0.0); French=neutral(0.0); Emmanuelbonn=neutral(0.0); Bertrandbuchwalter=neutral(0.0); Russia=neutral(0.0); Russia=neutral(0.0); Yuriushakov=neutral(0.0); French=neutral(0.0); Russia=neutral(0.0); Europeans=neutral(0.0); Ushakov=neutral(0.0); European=neutral(0.0); Putin=neutral(0.0); Dmitrypeskov=neutral(0.0); Financialtimes=neutral(0.0); Europeans=neutral(0.0); French=neutral(0.0),officials --proposes_action--> insisted that Moscow agree that the Europeans should have a seat at the negotiating table . (0.35); Europeans --proposes_action--> have a seat at the negotiating table (0.55),ביטחון והישרדות,,,,,,,,
Ukrainian,People here just want normal days again.,,,,,,,,,,,
Ukrainian,"WHO prepares for nuclear disaster amid escalating war in Iran WHO is retraining its staff on how to respond to a nuclear incident, including advising officials on public health risks and what steps people should take to protect themselves.  According to WHO Regional Director for the Eastern Mediterranean, Hanan Balkhi, WHO staff are prepared for a nuclear incident in its ""broadest sense"", including an attack on a nuclear facility or the use of nuclear weapons. However, the organization ""really hopes that this will not happen.""  ✅ We are on WhatsApp | Telegram | Viber",WHO=neutral(0.0); Iran=neutral(0.0); WHO=neutral(0.0); WHO=neutral(0.0); Easternmediterranean=neutral(0.0); Hanan Balkhi=neutral(0.0); WHO=neutral(0.0); Whatsapp=neutral(0.0); Teleg=neutral(0.0),people --proposes_action--> take to protect themselves (0.35),ביטחון והישרדות,,,,,,,,
Ukrainian,"It’s a bit scary tonight with the drones overhead, but we’ve been through worse and survived.",,,,,,,,,,,
Ukrainian,"Sovereignty isn't a suggestion or a debate, it's our fundamental right as a nation.",,,ריבונות וזהות לאומית/קולקטיבית,,,,,,,,
Ukrainian,"Footage of the 26-story building in Kyiv's Solomyanskyi district, where the downed ""Shahid"" ended up.  The roof of the building caught fire.  According to the media, the ""arrival"" was at the apartment of Andriy Kovalskyi, the host of the telethon.  It is reported that he miraculously survived.  For a lie?🤔",Ukraine=neutral(0.0); Solomyanskyi=neutral(0.0); Shahid=neutral(0.0); Andriy Kovalsky=neutral(0.0),,,,,,,,,,
Ukrainian,"@Raid_413  struck a North Korean M-1989 “Koksan” self-propelled artillery unit in the Oleksandrivka direction. One of Russia’s longest-range guns — 170mm, up to 60 km. Its appearance on the battlefield shows how Russia is replacing worn-out 2S7 “Pion” systems with North Korean",41=neutral(0.0); Northkorean=neutral(0.0); M-=neutral(0.0); Koks=neutral(0.0); Oleksandrivka=neutral(0.0); Russia=neutral(0.0); Russia=neutral(0.0); 2=neutral(0.0); Pion=neutral(0.0); Northkorean=neutral(0.0),,,,,,,,,,
Ukrainian,Just saw the news about the latest shelling... when will this madness actually stop?,,,,,,,,,,,
Ukrainian,The war coverage strengthened national identity globally.,,,ריבונות וזהות לאומית/קולקטיבית,,,,,,,,
Ukrainian,"Portugal has also agreed to train Ukrainian pilots and mechanics on Western-type combat aircraft, according to Ukraine's Foreign Ministry.  https://t.co/rn5JoBeoBX",Portugal=neutral(0.0); Ukraine=neutral(0.0); Western=neutral(0.0); Ukraine=neutral(0.0); Foreignministrybb=neutral(0.0),,,,,,,,,,
Ukrainian,"🔹 In Donetsk region, a 63-year-old local woman died as a result of Russian shelling of the village of Maidan. Four more people were injured, including a 15-year-old boy. A man was injured due to the strike of the Russian Federation on Mykolaivka.  🔹 Russian troops attacked Sumy with a drone - one person was injured. One more man was injured as a result of the Russian attack on a car in the Mykolaiv community in the Sumy region. In Velika Chernechchyna, the Russian army hit a kindergarten pavilion with two ""Lightning missiles"". No one was injured.  🔹 In Kherson, a man died at his workplace due to Russian shelling of the Dnipro district.",Donetsk=neutral(0.0); Russia=neutral(0.0); Maidan=neutral(0.0); Russianfederation=victim(0.7); Mykolaivka=victim(0.7); Russia=neutral(0.0); Sumy=victim(0.7); Russia=neutral(0.0); Mykolaiv=neutral(0.0); Sumy=neutral(0.0); Velika Chernechchyna=neutral(0.0); Russia=neutral(0.0); Lightning=neutral(0.0); Kherson=neutral(0.0); Russia=neutral(0.0); Dnipro=neutral(0.0),"Russian shelling of the village of Maidan --causes--> 🔹 In Donetsk region, a 63-year-old local woman died (0.4); the strike of the Russian Federation on Mykolaivka --causes--> A man was injured (0.4); troops --attacks--> Sumy (0.45); the Russian attack on a car in the Mykolaiv community in the Sumy region --causes--> One more man was injured (0.4); Russian shelling of the Dnipro district --causes--> 🔹 In Kherson, a man died at his workplace (0.4)",סולידריות ואחריות קולקטיבית,,,,,,,,
Ukrainian,get Bach facts right,Bach=neutral(0.0),,,,,,,,,,
Ukrainian,"⚡️Intelligence chief tells Russian soldiers to surrender, says frontline situation will get worse.  Ukrainian military intelligence chief Kyrylo Budanov addressed Russian soldiers in a video on May 22, urging them to surrender if they do not want to die because the situation on… https://t.co/dergWNtPjf",⚡️intelligence=neutral(0.0); Russia=neutral(0.0); Ukraine=neutral(0.0); Kyrylo Budano=neutral(0.0); Russia=neutral(0.0),situation --causes--> they (0.5),,,,,,,,,
Ukrainian,"A large-scale scheme of embezzlement of funds in the Medical Guarantee Program for UAH 108.3 million in losses was exposed. The investigation established that instead of real services, some medical institutions entered fictitious records into the electronic system, artificially inflated the amount of assistance and the prices of equipment in order to receive more funding, the Prosecutor General's Office reported.  As part of 12 criminal proceedings, suspicions have already been reported to 18 people in the Donetsk, Volyn, Rivne, Kirovohrad, Mykolaiv, Sumy, Kharkiv, Kherson, Chernivtsi and Chernihiv regions.  ✅ We are on WhatsApp | Telegram | Viber",Medicalguaranteeprogram=neutral(0.0); UAH=neutral(0.0); Pro=neutral(0.0); Generalsoffice=neutral(0.0); Donetsk=aggressor(0.15); Volyn=aggressor(0.15); Rivne=aggressor(0.15); Kirovohrad=aggressor(0.15); Mykolaiv=aggressor(0.15); Sumy=aggressor(0.15); Kharkiv=aggressor(0.15); Kherson=aggressor(0.15); Chernivtsi=aggressor(0.15); Chernihiv=aggressor(0.15); Whatsapp=neutral(0.0); Telegram=neutral(0.0); Viber=neutral(0.0),,יציבות וסדר,,,,,,,,
Ukrainian,"The escalation in the Middle East has forced the world to view Ukraine differently, Foreign Ministry spokesman Heorhii Tykhyi said.  Tykhyi noted that the escalation in the Persian Gulf could accelerate Ukraine’s conclusion of drone agreements and change global perceptions of the country.  According to him, Iran’s confrontation with the United States and Israel highlights Ukraine’s unique experience, making it a valuable partner.  He also referred to remarks by Foreign Minister Andrii Sybiha, who said that countries in the region, forced to defend themselves against Iranian drones, now see Ukraine not as a requester of aid, but as a strong military force.  Tykhy also recalled a statement by President Volodymyr Zelenskyy about Ukraine’s readiness to develop security cooperation with the United States, NATO, and other partners.",Middleeast=neutral(0.0); Ukraine=neutral(0.0); Foreignministry=neutral(0.0); Heorhii Tykhyi=neutral(0.0); Tykh=neutral(0.0); Persiangulf=neutral(0.0); Ukraine=neutral(0.0); Iran=neutral(0.0); Unitedstates=neutral(0.0); Israel=neutral(0.0); Ukraine=neutral(0.0); Andriisybiha=hero(0.15); Iran=hero(0.15); Ukraine=hero(0.15); Tykh=neutral(0.0); Volodymyr Zelensky=neutral(0.0); Ukraine=neutral(0.0); Unitedstates=neutral(0.0); NATO=neutral(0.0),,ביטחון והישרדות,,,,,,,,
Ukrainian,"Deputy heads of the SBU of Kyiv region and Rivne region were detained — they are suspected of extorting a bribe from a businessman.  Investigators claim that in the Rivne region they demanded $620,000 from the head of a monopolist company in the amber business. For this amount, they promised to close the criminal proceedings that had previously been opened against his company.  Detainees are going to be informed about suspicion of bribery. They face up to ten years behind bars with confiscation.  @babel",SBU=neutral(0.0); Ukraine=neutral(0.0); Rivne=neutral(0.0); Rivne=neutral(0.0),"they --proposes_action--> demanded $ 620,000 from the head of a monopolist company in the amber business (0.35)",,,,,,,,,
Ukrainian,"""If you don't serve the state in the parliament, serve the state at the front."" Volodymyr Zelenskyy is ready to discuss changes to the law on mobilization.  ""People's deputies will either have to serve in the parliament according to Ukrainian legislation, or I am ready to discuss with the representatives of the parliament the law regarding changes to the mobilization so that the deputies can go to the front,"" the president said at a closed meeting with journalists, as quoted by Interfax-Ukraine.   Among his other statements: 🔴The American military contacted the Ukrainian military with a request for expertise in countering Shahed. ""The Americans attacked us several times. We received letters, calls and requests from all military institutions. We responded to them.""  🔴Zelensky would like to sign a drone agreement with the USA ""for years"" - worth about $35-50 billion. Ukraine is also ready for joint production. Distribution — 50% Ukrainian engineers, 50% American. In peacetime, if the US needs a larger quantity, it will have first priority for the entire volume. The same applies to Ukraine.   🔴There is a risk for providing Ukraine with anti-aircraft missiles. As an alternative, Ukraine is considering the European SAMP/T systems and agrees to be the first in line for them in case of successful anti-ballistic tests.  🔴Individual Ukrainian manufacturers sold interceptor drones abroad without the knowledge of the state. Zelenskyy emphasized: foreign partners should not buy individual drones, but a full-fledged defense system together with Ukrainian expertise in its use.  🔴The restoration of the Druzhba oil pipeline is no different from the lifting of sanctions from the Russian Federation. ""The question is more global: we sell Russian oil or we don't sell it. Because they are forcing me to restore ""Friendship"". How does this differ from the lifting of sanctions against the Russians?""  🔴The USA offered to postpone the tripartite meeting to next week due to the situation in the Middle East. The USA is ready to host the meeting, Ukraine agrees, but the Russian side is not ready to fly to the USA.  @babel",Volodymyr Zelensky=neutral(0.0); Ukraine=neutral(0.0); Interfax=neutral(0.0); Ukraine=neutral(0.0); United States=neutral(0.0); Ukraine=neutral(0.0); Shahed=neutral(0.0); United States=aggressor(0.85); United States=neutral(0.0); Ukraine=neutral(0.0); Ukraine=neutral(0.0); United States=neutral(0.0); United States=neutral(0.0); Ukraine=neutral(0.0); Ukraine=neutral(0.0); Ukraine=hero(0.15); European=hero(0.15); Ukraine=neutral(0.0); Zelensky=neutral(0.0); Ukraine=neutral(0.0); Druzhba=neutral(0.0); Russianfederation=neutral(0.0); Russia=neutral(0.0); Friendship=neutral(0.0); Russia=neutral(0.0); United States=neutral(0.0); Middle=neutral(0.0); United States=neutral(0.0); Ukraine=neutral(0.0); Russia=neutral(0.0); United States=neutral(0.0),"United States --attacks--> us (0.45); United States --proposes_action--> needs a larger quantity (0.55); partners --proposes_action--> buy individual drones , but a full - fledged defense system together with Ukrainian expertise in its use (0.35); the situation in the Middle East --causes--> 🔴The USA offered to postpone the tripartite meeting to next week (0.4)",ביטחון והישרדות,,,,,,,,
Ukrainian,"Fuel oil prices in Singapore have risen by 146% since the beginning of the year, surpassing the peaks of 2008 and the 2022 energy crisis.  The price of this fuel in Singapore, one of the world’s largest hubs, has reached about $140 per barrel. It is a key indicator for global logistics, as it fuels container ships, tankers, and most maritime fleets.  The sharp increase is driven by the war in the Middle East and disruptions to supplies through the Strait of Hormuz, one of the main routes for global oil and gas trade. Any restrictions or risks in this region immediately affect fuel and shipping costs.  The rise in fuel oil prices directly increases maritime shipping costs, which are eventually passed on to the prices of all goods, from electronics to food. This is essentially inflation that “sails” across the sea.  The market is already reacting. Carriers are raising rates, and businesses are beginning to reassess their supply chains. If the situation in the region does not stabilize, price increases could accelerate and hit the global economy harder than during the 2022 crisis, media reports say.",Singapore=neutral(0.0); Singapore=neutral(0.0); Middleeast=neutral(0.0); Straitofhormuz=neutral(0.0),it --causes--> It (0.5),,,,,,,,,
Ukrainian,"We are fighting for the whole of Europe, not just ourselves, you know? We're the shield.",Europe=neutral(0.0),,,,,,,,,,
Western,Universal education is like the best investment a country can make in its future.,,,,,,,,,,,
Western,"We absolutely have to stand firm against authoritarian regimes, otherwise, what's next?",,,,,,,,,,,
Western,It's about strategic patience and resolve. We can't back down when our principles are challenged.,,,,,,,,,,,
Western,"Buildings, cars, bridges; none exist without welding.  For one Kazakh family, the craft has shaped three generations, proving that human skill and creativity can’t be automated.  As demand for skilled workers grows in Kazakhstan, their story shows why craftsmanship still powers the country’s future.  Find out more on #VoicesfromCentralAsia: https://www.euronews.com/culture/2025/12/31/how-one-family-of-welders-shows-why-skilled-trades-still-matter-in-kazakhstan  In partnership with @media.damytu.qory",Kazakh=neutral(0.0); Kazakhstancralas=neutral(0.0); Kazak=neutral(0.0),demand --causes--> Kazakhstancralas (0.5),,,,,,,,,
Western,"Five European nations have determined that Russia poisoned Alexei Navalny.   This was a cowardly act from a frightened leader.  Russia has long acted as a terrorist state, relying on terrorist methods.  Poisoning political opponents. Silencing journalists. Invading peaceful",European=neutral(0.0); Russia=neutral(0.0); Alexeinavalny=neutral(0.0); Russia=aggressor(0.15),,,,,,,,,,
Western,"Israel–Iran Conflict: Follow Euronews' continuing coverage for the latest developments, live updates, and analysis on our website, mobile app, and TV channel.  http://euronews.com",Israel=neutral(0.0); Iran=neutral(0.0); Euronews=neutral(0.0),,,,,,,,,,
Western,"Tere päevast! 🇪🇪 Here are your top news stories from this afternoon:  🇵🇸🇮🇱EU foreign policy chief calls for renewed Gaza ceasefire amid escalation   🇬🇱Greenland's PM slams US officials' visit as 'demonstration of power'   🇰🇷South Korean prime minister reinstated as acting president after impeachment overturned  🇹🇷Brussels questions arrest of Istanbul mayor, without condemning it  🇾🇪US claims key Houthi leaders taken out in latest airstrikes in Yemen  🇬🇧UK PM wants 'Adolescence' TV series to be shown in schools to fight toxic culture  🍨Romans celebrate Pope Francis release from hospital with new gelato flavour, 'Hallelujah'   For more updates 👉 https://www.euronews.com/  And follow us on our social platforms:  ⚫️ X 🟣 Instagram 🔵 Facebook ⚪️ Tiktok Ⓜ️ Mastodon  @euronews_eng",Gaza=neutral(0.0); United States=neutral(0.0); Korean=neutral(0.0); Istanbul=neutral(0.0); Houthis=neutral(0.0); Yemen=neutral(0.0); Popefrancistok=neutral(0.0),chief --proposes_action--> calls for renewed Gaza ceasefire amid escalation    🇬 🇱 (0.35); PM --opposes--> visit (0.45),,,,,,,,,
Western,"Free markets, honestly, they're what drive true innovation and widespread prosperity, for real, when they're fair.",,,,,,,,,,,
Western,"I don't fully trust the system, but I still prefer it.",,,,,,,,,,,
Western,"Capitalism, with all its checks and balances, has lifted billions out of poverty. That's a fact.",,,,,,,,,,,
Western,"Mounting Russian strikes hit Ukraine with casualties across the country    Russia has launched a barrage of attacks over the past 24 hours, pummeling cities in Ukraine’s east, south and center with missiles, glide bombs and waves of drones — the latest onslaught in a deadly aerial campaign that intensified two months ago.  The building where the Estonian ambassador to Ukraine lives in the capital Kyiv was also hit and left burning by a drone.  Overnight, Russian glide bombs struck a building in the eastern Ukrainian city of Kharkiv, wounding more than 20, while drones struck the southern city of Odessa, killing one person and injuring nine, officials said.  The previous day, glide bombs hammered five locations in Zaporizhzhia in eastern Ukraine, injuring at least 40 people and killing 10, including a 1-year-old child, officials said Friday.  In total, at least 14 people were killed and close to 100 injured in the attacks.  Read the full story here.",Russia=neutral(0.0); Ukraine=neutral(0.0); Russia=neutral(0.0); Ukraine=neutral(0.0); Estonian=neutral(0.0); Ukraine=neutral(0.0); Ukraine=neutral(0.0); Russia=neutral(0.0); Ukraine=neutral(0.0); Kharkiv=victim(0.7); Odessa=victim(0.7); Zaporizhzhia=neutral(0.0); Ukraine=neutral(0.0),bombs --attacks--> building (0.45); drones --attacks--> city (0.45),,,,,,,,,
Western,Glad to be in Ljubljana  to speak at the NATO Parliamentary Assembly  @natopa . We live in a more dangerous world & the risks to our security have reach.  Parliamentarians play a pivotal role in raising awareness in our societies. We all need to work together to keep our 1bn,Ljubljana=neutral(0.0); Natoparliamentaryassembly=neutral(0.0),We --proposes_action--> need to work together to keep our 1bn (0.35),ביטחון והישרדות,,,,,,,,
Western,"Ukraine left in security limbo with Zelensky U.S. trip results unclear  KYIV — More than a week after Ukrainian President Volodymyr Zelensky presented his “victory plan” for how to end the war with Russia to top U.S. officials, details of the strategy and how it was received remain hazy, and Kyiv is scrambling for additional international support just a month before the U.S. election.  Zelensky’s administration has so far kept the points of the victory plan, which was shared with President Joe Biden and other top officials, a secret, but it likely hinges on either accelerated NATO membership or binding security guarantees from the Ukraine’s Western partners.  Read the full story here.",Ukraine=neutral(0.0); Zele=neutral(0.0); United States=neutral(0.0); Ukraine=hero(0.15); Volodymyr Zelensky=hero(0.15); Russia=hero(0.15); United States=hero(0.15); Ukraine=hero(0.15); United States=hero(0.15); Zelensky=hero(0.15); Joebiden=hero(0.15); NATO=hero(0.15); Ukraine=hero(0.15); Western=hero(0.15),,ביטחון והישרדות,,,,,,,,
Western,"Authoritarian expansionism is a clear and present danger to global stability, we can't ignore it.",,,יציבות וסדר,,,,,,,,
Western,"I just spoke with  @KingAbdullahII  of Jordan. We stand in full solidarity with the Hashemite Kingdom of Jordan following yesterday’s Iranian strikes.  With Khamenei gone, there is renewed hope for the people of Iran. We must ensure that the future is theirs to claim and shape.",##abduii=neutral(0.0); Jordan=neutral(0.0); Hashemite=neutral(0.0); Jordan=neutral(0.0); Iran=neutral(0.0); Khamene=neutral(0.0); Iran=neutral(0.0),We --proposes_action--> ensure that the future is theirs to claim and shape . (0.35),סולידריות ואחריות קולקטיבית,,,,,,,,
Western,"Honestly, the rules-based international order is literally the only thing keeping things from spiraling into total chaos, right?",,,יציבות וסדר,,,,,,,,
Western,Indian Prime Minister Narendra Modi disputed President Donald Trump’s claims that trade deals were used to clinch a ceasefire with Pakistan during last month’s military conflict. Read more here: https://bloom.bg/45ujR2L,Indian=neutral(0.0); Narendramodi=neutral(0.0); Donaldtrump=neutral(0.0); Pakistan=neutral(0.0),,,,,,,,,,
Western,Environmental protection is a global responsibility that we need to lead on.,,we --proposes_action--> need to lead on (0.35),ביטחון והישרדות,,,,,,,,
Western,"Our shared values within NATO, they're what make us strong, not just the hardware.",NATO=hero(0.15),,,,,,,,,,
Western,"The rules-based system isn't perfect, but it's the best framework we've got for international relations.",,,,,,,,,,,
Western,"🚨 LIVE NOW: Modi's budget delivers a double shock: a shield against Trump's tariffs and a tax hike on India's booming F&O market. Bloomberg's Menaka Doshi, Shruti Srivastava, Chiranjivi Chakraborty and Subhadip Sircar analyze the impact in a Live Q&A. Join and ask your questions: https://bloom.bg/4kg2isC",Modi=neutral(0.0); Trump=neutral(0.0); India=neutral(0.0); F&O=neutral(0.0); Bloomberg=neutral(0.0); Menaka Doshi=neutral(0.0); Shruti Srivastava=neutral(0.0); Chiranjivichakraborty=neutral(0.0); Subhadip Sircar=neutral(0.0),,,,,,,,,,
Western,Maintaining stability means respecting the borders and agreements everyone signed up for.,,,יציבות וסדר,,,,,,,,
Western,Article 5 of NATO? That's the ultimate promise: an attack on one is an attack on all. Powerful.,NATO=neutral(0.0),,,,,,,,,,
Western,"When we talk about human rights, we're talking about the right to speak, to assemble, to choose your own path. It's fundamental.",,,זכויות אדם וכבוד האדם,,,,,,,,
Western,"The rules-based order, it's like the operating system for a stable world. Mess with it, and everything just crashes.",,,יציבות וסדר,,,,,,,,
